ent,ent,t,Inciden,Incidenh,Incidenm,ginesp_i,giniesp_p,dessalud_i,dessalud_p,casadh,casadm,escolh,escolm,ocup,ocuph,ocupm,persconSS,perssinSS,ValAgr,Predialpc,gtosal,gstosalpc,hosp,enferm,medic,Salpib,Densidadpoblac,Abarrotes,Verdulerias,Dulcerias,Gimnasios,GiniT_i,GiniT_p
01,Aguascalientes,2014,2.424799995,2.287577809,2.524422088,0.00878339,0.126865997,0.000164544,-0.001066529,5.044477042,4.692714761,1.004853596,1.032275218,5.692939406,5.479376615,5.282266285,5.837396498,5.765279527,5.413700634,2.10130957,6.778272605,3.645936046,1.462397998,3.543571424,3.29841638,0.477121255,2.365796504,3.715083671,2.945960704,2.670245853,2.382017043,0.008511366,0.135032808
01,Aguascalientes,2015,2.631666947,2.479316124,2.739390361,0.01599411,0.11329871,0.000123922,-0.000595103,5.047006028,4.659279021,1.001975708,1.037702526,5.705181814,5.501192133,5.278995824,5.843969892,5.770466128,5.439008665,2.103181516,6.807864291,3.675475227,1.447158031,3.568319085,3.315760491,0.478566496,2.37173449,3.715083671,2.945960704,2.670245853,2.382017043,0.010587924,0.137969147
01,Aguascalientes,2016,2.911865757,2.771616874,3.013085924,0.00989743,0.119387112,0.002726741,0.000540869,5.057087674,4.703772705,1.009496575,1.030865317,5.725863465,5.514580954,5.31157587,5.850330047,5.775435676,5.458149709,2.148658727,6.817975438,3.672578134,1.447158031,3.56205483,3.318480725,0.432969291,2.377458594,3.734559822,2.955206538,2.697229343,2.437750563,0.005948351,0.150650889
01,Aguascalientes,2017,2.894980291,2.735718634,3.006166425,0.00992262,0.113872289,0.000829435,-8.18743E-05,5.02414483,4.708004254,1.008586036,1.034838856,5.737313528,5.525511261,5.323854124,5.856482982,5.780216469,5.468571125,2.198157031,6.833821914,3.672203975,1.477121255,3.594944737,3.365113432,0.426511261,2.382985006,3.734559822,2.95616843,2.697229343,2.439332694,0.010077815,0.153819044
01,Aguascalientes,2018,2.798229265,2.639476528,2.911200237,0.01209001,0.110169046,0.000873685,-0.000434229,5.003555308,4.70018433,1.007250145,1.039381992,5.744210812,5.533226624,5.329446697,5.862442671,5.784809794,5.487668723,2.229053235,6.834211484,3.654087054,1.477121255,3.62324929,3.363799945,0.397940009,2.38832188,3.734639839,2.956648579,2.695481676,2.439332694,0.010511405,0.143068979
01,Aguascalientes,2019,2.702085721,2.567966907,2.80171234,0.0080653,0.112406857,0.000427709,-0.000819322,5.035441746,4.71029511,1.020031997,1.044298009,5.763663048,5.551140026,5.351347871,5.887143368,5.809063191,5.489457495,2.298456094,6.85909814,3.652879296,1.477121255,3.649529566,3.371806459,0.423245874,2.41281892,3.707910666,2.958085849,2.680335513,2.547774705,0.005673156,0.135118045
01,Aguascalientes,2020,2.404114998,2.272027361,2.502604625,0.00986986,0.116160931,0.000107137,-0.000906211,5.044190774,4.793902086,1.029225495,1.05559061,5.786009223,5.56877649,5.381051873,5.893694089,5.814085704,5.460607342,2.298654631,6.902508232,3.690166111,1.505149978,3.661812686,3.38774566,0.481442629,2.418674707,3.694517454,2.964730921,2.689308859,2.505149978,0.018683969,0.151417899
01,Aguascalientes,2021,2.533250796,2.388172275,2.638988159,0.00646266,0.118659606,6.67464E-05,-0.00074905,5.064996779,4.771793189,1.029080477,1.07067594,5.775167555,5.557335134,5.37113254,5.900047436,5.818909798,5.47118753,2.377074341,6.852992612,3.626093726,1.544068044,3.658964843,3.394276527,0.403120521,2.424333979,3.695569227,2.969415912,2.69019608,2.494154594,0.01863034,0.135014492
01,Aguascalientes,2022,2.821493877,2.677743789,2.926501933,0.00901105,0.116151693,0.00057955,0.00057955,4.992500498,4.703050514,1.045361946,1.06046254,5.795697923,5.578979408,5.389947112,5.906201392,5.823543998,5.470322138,2.448284602,6.880019997,3.638922337,1.579783597,3.657820456,3.403463701,0.451786436,2.435447628,3.695919253,2.968949681,2.689308859,2.494154594,0.012212979,0.142742261
01,Aguascalientes,2023,2.778093341,2.65750522,2.869870953,0.01155296,0.116647812,4.70198E-05,4.70198E-05,4.945798366,4.711309403,1.034671282,1.049718762,5.810661223,5.571528323,5.43742234,5.912185908,5.82797828,5.494955675,2.570861224,6.886285751,3.639480513,1.591064607,3.679337031,3.423409728,0.46834733,2.441151472,3.69565676,2.968482949,2.695481676,2.505149978,0.015040102,0.137275332
02,Baja California,2014,2.827324032,2.651549363,2.953223135,0.00364318,0.198078871,0.021896778,0.002446697,5.518790221,5.249838928,0.992718099,1.001702783,6.16281792,5.947148347,5.755441107,6.325737885,6.119210015,5.853193543,2.507631019,7.166968548,3.597660658,2.340444115,3.836070809,3.57921178,0.450249108,1.691059088,4.089233731,2.759667845,3.165541077,2.834420704,0.00596978,0.324350231
02,Baja California,2015,2.788111782,2.631393031,2.903903527,0.01319371,0.183919593,0.003224543,0.000158185,5.52065774,5.274192499,0.990238591,1.010396899,6.179493766,5.970788386,5.761061391,6.332833791,6.124566821,5.872361963,2.548594133,7.196200657,3.620543956,2.344392274,3.852784869,3.618675539,0.424881637,1.697489213,4.089233731,2.759667845,3.165541077,2.834420704,0.006829475,0.331276419
02,Baja California,2016,2.823435102,2.673564587,2.935315771,0.00889452,0.213621656,0.006386715,0,5.549189699,5.295859463,0.995763722,1.008947043,6.19304859,5.981317,5.779476719,6.339757029,6.129738216,5.890301764,2.592546838,7.200104999,3.61423363,2.346352974,3.852906759,3.613101517,0.392696953,1.703743455,4.112068504,2.787460475,3.1775365,2.881954971,0.004236002,0.379539611
02,Baja California,2017,2.920342506,2.804180337,3.012318291,0.00748392,0.188808553,0.010613996,-0.000382458,5.500719366,5.268643486,0.996555139,0.999520204,6.206440775,5.989769191,5.800617427,6.346520987,6.13473349,5.908610814,2.605305046,7.204511991,3.609398418,2.346352974,3.868703202,3.611723308,0.382017043,1.709833675,4.112135603,2.790285164,3.183269844,2.892094603,0.007184013,0.381399938
02,Baja California,2018,2.973261817,2.821867108,3.085251322,0.00432061,0.202091738,0.016499157,0.000522889,5.485282653,5.248522534,1.009096517,1.019262264,6.231849687,6.022695547,5.814143672,6.353111108,6.139550409,5.915963068,2.650469426,7.214228233,3.610041957,2.346352974,3.856305866,3.593618308,0.378397901,1.715750043,4.112001395,2.785329835,3.184123354,2.892094603,0.007284458,0.335473958
